City,No_of_Providers,No_of_Receivers
Thomasberg,0,1
Gomezmouth,0,1
Murphyfort,0,1
Lake Rebeccaton,0,2
Melindaview,0,1
Priceborough,0,1
Rushfurt,0,1
Maryfort,0,1
Jenniferbury,0,2
Angelamouth,0,1
Juliastad,0,1
Lake Lesliemouth,0,1
Lake Dillonborough,0,1
Swansonport,0,1
West Jeffrey,0,1
West Dan,0,1
North Nicole,0,1
Johnland,0,1
North Jamesfurt,0,1
New Corey,0,1
South John,0,1
Jaredport,0,1
West Matthewborough,0,1
Duncanchester,0,1
Port Dean,0,1
South Barbaraburgh,0,1
Port Brandonberg,0,1
Port Johnstad,0,1
Lake Stevenburgh,0,1
Jamieview,0,1
Leeton,0,1
Lawrencechester,0,1
Lake Cory,0,1
Lake Ryan,0,1
Reevestown,0,1
West Tina,0,1
Kellyfurt,0,1
Tiffanyport,0,1
Lisafurt,0,1
Rachelberg,0,1
Lake Jonathanchester,0,1
New Brandonton,0,1
Lake Clinton,0,1
Gordonstad,0,1
West Jorge,0,1
Sarahville,0,1
Sherryhaven,0,1
New Amy,0,1
Bergerport,0,1
Port Carmen,0,1
West Donnaton,0,1
West Randall,0,1
Lake Matthew,0,1
North Manuel,0,1
New Deborahville,0,1
New Kevin,0,1
Chambersmouth,0,1
Lake Crystal,0,1
Clarkhaven,0,1
Morganville,0,1
Brandonhaven,0,2
North Abigail,0,1
West Mikayla,0,1
Port Dianemouth,0,1
New Natalieland,0,1
Lake Laurenburgh,0,1
Rayfurt,0,1
North Holly,0,1
Port Thomasstad,0,1
Josephborough,0,1
Jonathanview,0,1
South Tyler,0,1
South Edwardburgh,0,1
Lewisfort,0,1
Chadport,0,1
Rosaleschester,0,1
Lake Steven,0,1
Lake Karen,0,1
Russellburgh,0,1
Pagemouth,0,1
East Douglas,0,1
East Melissaport,0,1
Lake Kyleside,0,1
South Connorview,0,1
Martinezside,0,1
Robertsport,0,1
West Rogerview,0,1
Lake Joshuaville,0,1
North Margarethaven,0,1
Troyshire,0,1
West Cherylland,0,1
Port Sara,0,1
Port Michaelmouth,0,1
Coreymouth,0,1
North Kathryn,0,1
Port Deborahbury,0,1
Mikemouth,0,1
New Timothymouth,0,1
Port Jenniferborough,0,1
New Rebecca,0,1
Hollyside,0,1
Port Judith,0,1
Cruzborough,0,1
Port Deborah,0,1
Lake Christina,0,1
Sandratown,0,1
East Andrewhaven,0,1
Powerston,0,1
West Justinberg,0,1
Edwardport,0,1
Lake Adriennechester,0,1
North Jeffreychester,0,1
Bushbury,0,1
Chrisport,0,1
East Daniel,0,1
Heatherhaven,0,1
Johnsonberg,0,1
North Robinville,0,1
North Kimberlyland,0,1
Port Dominique,0,1
Port Sarah,0,1
Bobbyfort,0,1
East Ginafort,0,1
Castilloshire,0,1
West Aliciaburgh,0,1
Lake Mitchellbury,0,1
South Davidstad,0,1
New Michaelport,0,1
Andersonview,0,1
Port Gregory,0,1
Port Jason,0,1
New Dustin,0,1
West Jeffreyfurt,0,1
West Richard,0,2
Jessicatown,0,1
Port Brandon,0,1
Rodriguezborough,0,1
South Steven,0,1
Lake Rachelburgh,0,1
Brooksmouth,0,1
Christophertown,0,1
Langburgh,0,1
Proctorville,0,1
Port Derekland,0,1
Port Chaseport,0,1
Huynhmouth,0,1
Gilbertborough,0,1
Connerland,0,1
Lewismouth,0,1
Matthewhaven,0,1
Bradleyland,0,1
Port Margaretport,0,1
Carlosfurt,0,1
Susanville,0,1
Huffmouth,0,1
Lake Gloria,0,1
Pittsville,0,1
Sarahaven,0,2
Olsonland,0,1
Robertview,0,1
Turnerhaven,0,1
New Travisland,0,1
Paynestad,0,1
Carolinebury,0,1
East Cynthiahaven,0,1
Port Angelafurt,0,1
Ramirezhaven,0,1
Rebeccaview,0,1
Darinland,0,1
East Peter,0,1
West Jacquelineland,0,1
Diazshire,0,1
Paulaburgh,0,1
South Michaelfurt,0,1
New Michael,0,1
Anthonyport,0,1
Christinahaven,0,1
Phillipston,0,2
Port Michaelport,0,1
Carterton,0,1
Vasquezberg,0,1
East Davidbury,0,1
Shelbyland,0,1
Ashleeside,0,1
Jacobmouth,0,1
Port Traci,0,1
Port Kristinechester,0,1
Lake Lance,0,1
South Donaldshire,0,1
Gonzalezstad,0,1
New Alexismouth,0,1
South Eric,0,1
West Alexandra,0,1
Shaneport,0,1
Adamland,0,1
Ortizmouth,0,1
Woodsfurt,0,1
Kingville,0,1
Rayberg,0,1
Brownville,0,1
South Meganland,0,1
Hallton,0,1
Randyville,0,1
Pottertown,0,1
East Jordanborough,0,1
East Kimberlymouth,0,1
North Michaelville,0,1
Roberttown,0,1
South Yolanda,0,1
Port Todd,0,1
North Hollyland,0,1
Murrayside,0,1
Port Courtneyland,0,1
Barreratown,0,1
Hollandburgh,0,1
East Stephenton,0,1
Lake Cody,0,1
South Elizabeth,0,1
Port Paulaton,0,1
North Sherribury,0,1
Hunterbury,0,1
Lake Gregory,0,1
Whiteside,0,1
Lisaview,0,1
North Nathanville,0,1
North Raymond,0,1
Mooreburgh,0,1
Beckville,0,1
South Gabrielmouth,0,1
North Lisaburgh,0,1
North Christopher,0,1
West Mariashire,0,1
West Carrieberg,0,1
Jonesland,0,1
Ariasbury,0,1
South Yvettestad,0,1
New Tammyhaven,0,1
Biancaton,0,1
Kinghaven,0,1
New Christopherburgh,0,1
Butlerborough,0,1
East Nathan,0,1
Nicoleside,0,1
Mcfarlandhaven,0,1
South Nicoleberg,0,1
New Carrie,0,1
Mcdanielmouth,0,1
Patriciamouth,0,1
North Tiffanyfort,0,1
South Waynefurt,0,1
Robertside,0,1
New Kellytown,0,1
Shelleyburgh,0,1
Andersonland,0,1
Nguyenview,0,1
West Danielview,0,1
Mendozabury,0,1
Kimberlyview,0,1
Keithstad,0,1
East Heatherbury,0,1
Stephenchester,0,1
East Nicole,0,1
Morenoborough,0,1
Vancebury,0,1
New Daryl,0,1
North Marcusbury,0,1
Perezhaven,0,1
Johnville,0,1
Blakehaven,0,1
West Garretthaven,0,1
Moralesfort,0,1
Cameronfurt,0,1
Anthonystad,0,1
East Antoniobury,0,1
New Ryanmouth,0,1
Melaniehaven,0,1
Fowlerburgh,0,1
Robertfurt,0,1
West Juanchester,0,1
Josephton,0,2
South Lucasview,0,1
Johnsonville,0,1
West Troyview,0,1
Port Timothymouth,0,1
North Michael,0,1
Port Mariemouth,0,1
Fernandezberg,0,1
Michealstad,0,1
Port Peggyshire,0,1
Port Maryshire,0,1
South Anthonyside,0,1
Kempstad,0,1
Kenthaven,0,1
Petersonmouth,0,1
Port Shannonhaven,0,1
Markfurt,0,2
Jensenland,0,1
Rogersfort,0,1
Sharpfurt,0,1
Chenview,0,1
Port Seanshire,0,1
Goodmanfort,0,1
Brooksborough,0,1
New Mark,0,1
South Jasminechester,0,1
South Shirleymouth,0,1
Jeanshire,0,1
Karenfort,0,1
Taylorport,0,1
Ellisborough,0,1
Port Joshua,0,1
East Sheenahaven,0,1
North Erikhaven,0,1
East Tiffanyview,0,1
Lake Sheilaland,0,1
Wardshire,0,1
Christinehaven,0,1
Joshuahaven,0,1
Nelsonbury,0,1
New James,0,1
West Amandaport,0,1
Changview,0,1
Davidtown,0,1
New Shauntown,0,1
West Monica,0,1
South Marymouth,0,1
West Brittany,0,1
Bruceburgh,0,1
East Nathanstad,0,1
Lake Kevinport,0,1
New Frederickfort,0,1
New Stephanie,0,1
Nicholsonland,0,1
Lovestad,0,1
Mercerport,0,1
Port Terry,0,1
Lake Douglas,0,1
Lake Tracytown,0,1
Shortfort,0,1
Port Amberfurt,0,1
East Stephaniefort,0,1
Nicoleberg,0,1
Heatherburgh,0,1
South Mark,0,2
New Brandyhaven,0,1
East Tasha,0,1
New Matthewton,0,1
Victorton,0,1
Port Marc,0,1
Kimberlymouth,0,1
Port Curtisside,0,1
South Jenniferburgh,0,1
Perryton,0,1
Reedview,0,1
Cummingschester,0,1
Lake Catherine,0,1
West Bradley,0,1
East Jamesmouth,0,1
Garciashire,0,1
West David,0,1
Danielsview,0,1
Lake Heatherberg,0,1
South Lindsay,0,1
Wilsonshire,0,1
South Williamview,0,1
Moralesburgh,0,1
North Vanessamouth,0,1
South Edward,0,1
Leahchester,0,1
Aguilarbury,0,1
New Sean,0,1
South Samanthaburgh,0,1
Lake Michelle,0,1
North Danielchester,0,1
South Theresaberg,0,1
Hardyberg,0,1
Brittanyborough,0,1
Deanstad,0,1
East Stevenborough,0,1
Sandovalmouth,0,1
Oliverberg,0,1
Buchananton,0,1
Grahambury,0,1
East Julietown,0,1
Lake Kimberlyton,0,1
Cookhaven,0,1
New Jesus,0,1
Wagnerburgh,0,1
Danielfurt,0,1
West Victoriaberg,0,1
South Jessicaburgh,0,1
Donnamouth,0,1
Ronaldmouth,0,1
Diazbury,0,1
Melissaberg,0,1
North Mallorystad,0,1
Jeffreyland,0,1
Reginaburgh,0,1
East Janetstad,0,1
New Phillipfurt,0,1
Josephfurt,0,1
Brownport,0,1
Port Gabrielleborough,0,1
Zacharyview,0,1
Hansonfurt,0,1
West Carrieport,0,1
Port Caleb,0,1
Deanfort,0,1
Princehaven,0,1
Andersonfort,0,1
North Andresport,0,1
South Jamesfort,0,1
Danielland,0,1
Westport,0,1
East Josephview,0,1
Brownbury,0,1
West Meganmouth,0,1
Lake Lindseystad,0,1
Theresabury,0,1
South Michelleport,0,1
Lisabury,0,1
Josephside,0,1
Harrisfurt,0,1
East Daisybury,0,1
Westshire,0,1
Shawhaven,0,1
Comptonside,0,1
Maryside,0,1
North Dawn,0,1
South Sheryl,0,1
Martinchester,0,1
Andreaberg,0,1
Delgadofort,0,1
West Jacob,0,1
Davisport,0,1
East Mark,0,1
East Amandaberg,0,1
Cruzland,0,1
New Olivia,0,1
West Jacquelinefort,0,1
North Tanner,0,1
Michaelside,0,1
Scottbury,0,1
Lake Christian,0,1
New Kimberly,0,1
West Josephland,0,1
Lauratown,0,1
South Lisa,0,1
West John,0,1
West Michaelton,0,1
North Kelly,0,1
South Mirandamouth,0,1
Amandaburgh,0,1
New Laura,0,1
Halltown,0,1
Lake Dustin,0,1
Ramosberg,0,1
Johnsonchester,0,1
Meganburgh,0,1
Taraside,0,1
Ellisshire,0,1
Bradfurt,0,1
Wyattton,0,1
Port Williamtown,0,1
Crawfordchester,0,1
Lorifurt,0,1
Collierburgh,0,1
New Larryshire,0,1
Lake Kaylamouth,0,1
Lake Stephenchester,0,1
Cookstad,0,1
Kirkfort,0,1
Poolebury,0,1
New Erikamouth,0,1
Billyland,0,1
South Craigborough,0,1
Lake Joshuabury,0,1
Pooleside,0,1
New Dakotahaven,0,1
West Lindseyside,0,1
North Shawnastad,0,1
North Amy,0,1
Natalieside,0,1
Annaborough,0,1
Port Philipmouth,0,1
East Shirley,0,1
New Donnahaven,0,1
North Nicholasborough,0,1
Port Robertmouth,0,1
South Emily,0,1
North Ricardo,0,1
Tylermouth,0,1
Rodneyport,0,1
New Jeffreyhaven,0,1
North Josephmouth,0,1
Fernandezchester,0,1
Birdview,0,1
West Sara,0,1
Jamesborough,0,1
North Haleyhaven,0,1
Lake Williamhaven,0,1
Jarvisshire,0,1
New Adrian,0,1
West Barry,0,1
New Loriberg,0,1
East Michaelview,0,1
Grossport,0,1
East Kevinberg,0,1
Dawsonberg,0,1
New Juliaton,0,1
Franklinview,0,1
East Travis,0,1
Payneland,0,1
New Melanie,0,1
Lake Shawn,0,1
Rubioborough,0,1
Lake Brandibury,0,1
Williamsborough,0,1
Kennethmouth,0,1
Woodardview,0,1
South Alanville,0,1
Ianland,0,1
Jenkinsfurt,0,1
West Davidview,0,1
Lake Victoriaton,0,1
Kelleystad,0,1
Darinview,0,1
North Janetland,0,1
West Donaldmouth,0,1
East Sheriton,0,1
Gloriaview,0,1
Carlostown,0,1
Mathistown,0,1
Dunnbury,0,1
South Michael,0,1
South Mary,0,1
West Paulfort,0,1
Erikashire,0,1
Riverafort,0,1
Port Douglasland,0,1
Port Jonathanton,0,1
Hayesfort,0,1
Lake Brandonborough,0,1
Elizabethberg,0,1
South Heather,0,1
Rodneyborough,0,1
New Jessicabury,0,1
New Melindashire,0,1
Caitlynhaven,0,1
North Lawrence,0,1
East Debramouth,0,1
West Ashleymouth,0,1
North Lydiaberg,0,1
Delacruzborough,0,1
Robertville,0,1
Gilbertfurt,0,1
Port Jonathanhaven,0,1
Nathanstad,0,1
Jacquelineshire,0,1
Kennethside,0,1
Greenville,0,1
Oneillland,0,1
Suzanneton,0,1
Myerstown,0,1
West Dustinberg,0,1
North Stephanieborough,0,1
Johnhaven,0,1
Davisfort,0,1
Port Thomas,0,1
Lake Larryborough,0,1
Port Cindyberg,0,1
Mariefurt,0,1
Bennettton,0,1
South Benjamin,0,1
Mayburgh,0,1
Lauraport,0,1
North Joshua,0,1
Amandafurt,0,1
Clarkton,0,1
South Paul,0,1
Lake Sonya,0,1
Teresastad,0,1
Carrborough,0,1
Port Cody,0,1
Gutierrezmouth,0,1
North Jacobhaven,0,1
Travishaven,0,1
Rodneyfurt,0,1
South Jamie,0,1
East Renee,0,1
Nielsenberg,0,1
North Laura,0,1
Thomasport,0,1
Jessicaburgh,0,1
Port Johnside,0,1
Matthewmouth,0,1
Port Kellifort,0,1
Andrewsport,0,1
Lanechester,0,1
South Sandra,0,1
Lake Jeffery,0,1
Shelbychester,0,1
